# UniProt_ID,P30542
# Target_name,AA1R_HUMAN Adenosine receptor A1
# Molecules_screened,1687
# Generated_at,2025-08-21T21:44:09
#
Rank,Drug Name,Target Name,Binding Score
191,daucosterol,AA1R_HUMAN,1305.81
192,maslinic acid,AA1R_HUMAN,1318.69
193,ursolic acid,AA1R_HUMAN,1321.66
194,vinburnine,AA1R_HUMAN,1322.57
195,ferronyl iron,AA1R_HUMAN,1324.73
196,forslean,AA1R_HUMAN,1340.52
197,boron aspartate,AA1R_HUMAN,1344.47
198,higenamine hcl,AA1R_HUMAN,1344.60
199,n-benzoyl-l-phenylalanine methyl ester,AA1R_HUMAN,1350.93
200,vitexin,AA1R_HUMAN,1372.74
201,fucosterol,AA1R_HUMAN,1382.44
202,dihydroberberine,AA1R_HUMAN,1384.78
203,ethyl 3-[[(4-chlorophenyl)methyl-[(5-nitrothiophen-2-yl)methyl]amino]methyl]pyrrolidine-1-carboxylate,AA1R_HUMAN,1399.22
204,aminopeptidase,AA1R_HUMAN,1404.76
205,d-alpha-tocopheryl acetate,AA1R_HUMAN,1406.65
206,tannase,AA1R_HUMAN,1442.72
207,chlorophyllins,AA1R_HUMAN,1457.91
208,11-hydroxy-yohimbine,AA1R_HUMAN,1471.87
209,c3g,AA1R_HUMAN,1473.64
210,vitamin e,AA1R_HUMAN,1486.00
211,alpha-bisabolol,AA1R_HUMAN,1521.21
212,18-hydroxyeicosapentaenoic acid,AA1R_HUMAN,1529.19
213,s-adenosyl-l-methionine tosylate disulfate,AA1R_HUMAN,1548.87
214,tocophersolan,AA1R_HUMAN,1559.04
215,vitamin d3,AA1R_HUMAN,1584.27
216,ferronyl carbonyl iron,AA1R_HUMAN,1585.82
217,green tea leaves,AA1R_HUMAN,1592.96
218,ellagic acid,AA1R_HUMAN,1650.11
219,campesterol,AA1R_HUMAN,1668.55
220,monascin,AA1R_HUMAN,1694.33
221,berberine,AA1R_HUMAN,1700.32
222,adenosine triphosphate disodium salt,AA1R_HUMAN,1704.25
223,sequoiaflavone,AA1R_HUMAN,1754.05
224,gamma-tocopherol,AA1R_HUMAN,1763.71
225,adrenal,AA1R_HUMAN,1768.05
226,ankaflavin,AA1R_HUMAN,1770.59
227,borneol,AA1R_HUMAN,1770.93
228,hydroxypropyl beta cyclodextrin,AA1R_HUMAN,1772.76
229,erythrodiol,AA1R_HUMAN,1797.69
230,lignans,AA1R_HUMAN,1799.77
231,triacetyluridine,AA1R_HUMAN,1809.73
232,nicotinamide adenine dinucleotide,AA1R_HUMAN,1816.52
233,thiamine disulfide,AA1R_HUMAN,1867.48
234,cyanidin-3-glucoside,AA1R_HUMAN,1874.79
235,3;4-divanillyltetrahydrofuran,AA1R_HUMAN,1876.48
236,vitamin a palmitate,AA1R_HUMAN,1881.72
237,eye,AA1R_HUMAN,1893.38
238,nordihydrocapsaicin,AA1R_HUMAN,1904.35
239,deoxyribonucleic acid,AA1R_HUMAN,1905.59
240,peptan,AA1R_HUMAN,1919.20
241,oleocanthal,AA1R_HUMAN,1922.66
242,s-adenosyl l-methionine,AA1R_HUMAN,1928.65
243,zisu,AA1R_HUMAN,1931.82
244,phloridzin,AA1R_HUMAN,1937.55
245,isopropoxy isoflavone,AA1R_HUMAN,1958.01
246,carnosol,AA1R_HUMAN,1976.09
247,sfb,AA1R_HUMAN,1985.50
248,wogonin,AA1R_HUMAN,1994.84
249,guar,AA1R_HUMAN,1995.91
250,nobiletin,AA1R_HUMAN,1996.41
251,max lmg,AA1R_HUMAN,2013.77
252,vitamin k2,AA1R_HUMAN,2014.71
253,sesquiterpenes,AA1R_HUMAN,2018.22
254,rs5,AA1R_HUMAN,2066.84
255,seleno-di-glutathione,AA1R_HUMAN,2136.10
256,leucodelphinidin,AA1R_HUMAN,2141.53
257,terpinolene,AA1R_HUMAN,2148.84
258,bismuth subsalicylate,AA1R_HUMAN,2154.89
259,calcium-magnesium phytate,AA1R_HUMAN,2201.90
260,malt,AA1R_HUMAN,2257.48
261,tanshinone iia,AA1R_HUMAN,2267.12
262,adenosine 5'-triphosphate disodium,AA1R_HUMAN,2308.67
263,adenosine triphosphate,AA1R_HUMAN,2326.35
264,2-phenyl-benzo[h]chromen-4-one,AA1R_HUMAN,2327.84
265,corosolic acid,AA1R_HUMAN,2331.77
266,benzalkonium chloride,AA1R_HUMAN,2376.13
267,folinic acid,AA1R_HUMAN,2377.52
268,hecogenin acetate,AA1R_HUMAN,2386.96
269,higenamine,AA1R_HUMAN,2428.88
270,inositol nicotinate,AA1R_HUMAN,2503.07
271,bilobalide,AA1R_HUMAN,2512.45
272,mix,AA1R_HUMAN,2568.92
273,delphinidin,AA1R_HUMAN,2576.23
274,vitamin,AA1R_HUMAN,2609.75
275,cyanidin,AA1R_HUMAN,2616.55
276,coq10,AA1R_HUMAN,2630.17
277,colour,AA1R_HUMAN,2685.62
278,25-deoxy-20-hydroxyecdysone,AA1R_HUMAN,2696.86
279,nas,AA1R_HUMAN,2709.48
280,chromium dinicotinate glycinate,AA1R_HUMAN,2742.37
281,igg,AA1R_HUMAN,2818.58
282,ace,AA1R_HUMAN,2847.42
283,phosphatidic acid,AA1R_HUMAN,2857.85
284,flavin adenine dinucleotide,AA1R_HUMAN,2887.38
285,alpha ketoglutaric acid,AA1R_HUMAN,2915.77
286,cannabinoid,AA1R_HUMAN,2944.61
287,ginsenoside rg3,AA1R_HUMAN,2955.93
288,l-methylfolate calcium,AA1R_HUMAN,3003.99
289,safranal,AA1R_HUMAN,3012.53
290,tryptamine,AA1R_HUMAN,3021.56
291,hypericin,AA1R_HUMAN,3044.75
292,activin,AA1R_HUMAN,3045.37
293,aniracetam,AA1R_HUMAN,3085.24
294,sotetsuflavone,AA1R_HUMAN,3105.63
295,parthenium,AA1R_HUMAN,3136.77
296,tocotrienols,AA1R_HUMAN,3139.32
297,chromium nicotinate,AA1R_HUMAN,3153.66
298,ginkgetin,AA1R_HUMAN,3165.82
