# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
176,s-acetyl-l-glutathione,T2R38_HUMAN,772.00
177,mitragynine,T2R38_HUMAN,772.62
178,3;3'-diiodothyronine,T2R38_HUMAN,772.70
179,igg,T2R38_HUMAN,782.10
180,docosapentaenoic acid ethyl ester,T2R38_HUMAN,782.76
181,6-paradol,T2R38_HUMAN,783.57
182,forslean,T2R38_HUMAN,784.62
183,proanthocyanidins,T2R38_HUMAN,785.98
184,peptan,T2R38_HUMAN,786.20
185,s-adenosyl l-methionine,T2R38_HUMAN,791.07
186,eicosapentaenoic acid ethyl ester,T2R38_HUMAN,792.72
187,vitexin,T2R38_HUMAN,796.21
188,triacetyluridine,T2R38_HUMAN,801.52
189,dioscin,T2R38_HUMAN,804.17
190,campesterol,T2R38_HUMAN,806.95
191,rad140,T2R38_HUMAN,813.01
192,resolvin d5,T2R38_HUMAN,814.48
193,yellows,T2R38_HUMAN,815.68
194,egcg,T2R38_HUMAN,823.08
195,cholesterol,T2R38_HUMAN,824.75
196,nucleosides,T2R38_HUMAN,826.47
197,decursin,T2R38_HUMAN,845.51
198,cbc,T2R38_HUMAN,847.36
199,beta-carotene,T2R38_HUMAN,847.64
200,thiamine disulfide,T2R38_HUMAN,862.76
201,lotus,T2R38_HUMAN,866.08
202,corosolic acid,T2R38_HUMAN,868.20
203,acetogenins,T2R38_HUMAN,871.20
204,cannabinoid,T2R38_HUMAN,873.69
205,seleno-di-glutathione,T2R38_HUMAN,874.66
206,erythrodiol,T2R38_HUMAN,888.58
207,phosphatidic acid,T2R38_HUMAN,892.12
208,neoxanthin,T2R38_HUMAN,892.96
209,octyl gallate,T2R38_HUMAN,899.78
210,methylstenbolone,T2R38_HUMAN,900.91
211,riboflavin,T2R38_HUMAN,907.41
212,vitamin e,T2R38_HUMAN,909.26
213,corynine,T2R38_HUMAN,917.48
214,lycopene,T2R38_HUMAN,936.76
215,carnosol,T2R38_HUMAN,939.13
216,vitamin d3,T2R38_HUMAN,944.05
217,tianeptine sodium,T2R38_HUMAN,948.93
218,hydroxypropyl beta cyclodextrin,T2R38_HUMAN,951.08
