# UniProt_ID,P23560
# Target_name,BDNF_HUMAN Neurotrophic factor BDNF precursor form
# Molecules_screened,1687
# Generated_at,2025-08-21T21:37:39
#
Rank,Drug Name,Target Name,Binding Score
186,gamma-tocopherol,BDNF_HUMAN,1712.64
187,sequoiaflavone,BDNF_HUMAN,1737.92
188,riboflavin sodium phosphate,BDNF_HUMAN,1742.79
189,egcg,BDNF_HUMAN,1744.07
190,ace,BDNF_HUMAN,1753.98
191,ferronyl carbonyl iron,BDNF_HUMAN,1804.98
192,vitamin d3,BDNF_HUMAN,1841.95
193,enoxin,BDNF_HUMAN,1846.79
194,lycopene,BDNF_HUMAN,1866.78
195,palmitoylethanolamide,BDNF_HUMAN,1884.32
196,tannase,BDNF_HUMAN,1885.17
197,hydroxypropyl beta cyclodextrin,BDNF_HUMAN,1899.22
198,forslean,BDNF_HUMAN,1926.37
199,mk-7,BDNF_HUMAN,1936.76
200,inositol hexaphosphate,BDNF_HUMAN,1957.11
201,monascin,BDNF_HUMAN,1957.58
202,hecogenin acetate,BDNF_HUMAN,1998.10
203,7-hydroxymatairesinol,BDNF_HUMAN,2015.21
204,ginkgolide b,BDNF_HUMAN,2019.15
205,3-n-butylphthalide,BDNF_HUMAN,2032.99
206,peroxidase,BDNF_HUMAN,2048.62
207,s-adenosyl l-methionine,BDNF_HUMAN,2050.56
208,ankaflavin,BDNF_HUMAN,2054.33
209,terpinolene,BDNF_HUMAN,2104.90
210,eye,BDNF_HUMAN,2122.83
211,proanthocyanidins,BDNF_HUMAN,2133.67
212,5-htp,BDNF_HUMAN,2137.97
213,berberine,BDNF_HUMAN,2148.76
214,phytofluene,BDNF_HUMAN,2161.15
215,tocophersolan,BDNF_HUMAN,2198.68
216,flavin adenine dinucleotide,BDNF_HUMAN,2235.83
217,17-hydroxydocosahexaenoic acid,BDNF_HUMAN,2242.20
218,camphene,BDNF_HUMAN,2259.31
219,cyanidin-3-glucoside,BDNF_HUMAN,2269.77
220,s-adenosyl-l-methionine tosylate,BDNF_HUMAN,2290.54
221,igg,BDNF_HUMAN,2307.98
222,benzalkonium chloride,BDNF_HUMAN,2313.18
223,green tea leaves,BDNF_HUMAN,2314.01
224,deoxyribonucleic acid,BDNF_HUMAN,2319.26
225,boron aspartate,BDNF_HUMAN,2320.13
226,tocotrienols,BDNF_HUMAN,2324.15
227,s-adenosyl-methionine,BDNF_HUMAN,2332.40
228,saponins,BDNF_HUMAN,2366.93
229,leucodelphinidin,BDNF_HUMAN,2422.90
230,resolvin d5,BDNF_HUMAN,2448.46
231,3-iodotyrosine,BDNF_HUMAN,2479.04
232,geranyl acetate,BDNF_HUMAN,2510.81
233,phosphatidyl glycerol,BDNF_HUMAN,2537.18
234,hypericin,BDNF_HUMAN,2549.38
235,anatabine,BDNF_HUMAN,2575.63
236,calcium-magnesium phytate,BDNF_HUMAN,2593.94
237,andrographolide,BDNF_HUMAN,2656.63
238,isosilybin,BDNF_HUMAN,2669.99
239,nobiletin,BDNF_HUMAN,2688.73
240,sotetsuflavone,BDNF_HUMAN,2712.77
241,vitamin a palmitate,BDNF_HUMAN,2717.12
242,nordihydrocapsaicin,BDNF_HUMAN,2736.51
243,wogonin,BDNF_HUMAN,2738.82
244,inositol nicotinate,BDNF_HUMAN,2749.96
245,(2s)-3-(4-cyanophenoxy)-n-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide,BDNF_HUMAN,2757.09
246,bilobalide,BDNF_HUMAN,2791.56
247,magnesium pidolate,BDNF_HUMAN,2820.34
248,2-phenyl-benzo[h]chromen-4-one,BDNF_HUMAN,2822.17
249,acetyl l-carnitine arginate,BDNF_HUMAN,2853.25
250,hemicellulase,BDNF_HUMAN,2904.06
251,escin,BDNF_HUMAN,2940.16
252,tgf-alpha,BDNF_HUMAN,2943.07
253,ginkgetin,BDNF_HUMAN,2943.62
254,isopropoxy isoflavone,BDNF_HUMAN,2972.72
255,triterpenoids,BDNF_HUMAN,2980.76
256,ferronyl iron,BDNF_HUMAN,3004.79
257,allin,BDNF_HUMAN,3013.94
258,vitamin k2,BDNF_HUMAN,3034.53
259,caprylic acid triglyceride,BDNF_HUMAN,3056.56
260,serotonin,BDNF_HUMAN,3060.45
261,progesterone,BDNF_HUMAN,3109.40
262,adrenal,BDNF_HUMAN,3139.21
263,gkg,BDNF_HUMAN,3168.47
264,sesquiterpenes,BDNF_HUMAN,3168.65
265,d-delta-tocotrienol,BDNF_HUMAN,3192.55
266,delphinidin,BDNF_HUMAN,3209.08
267,glycodeoxycholic acid,BDNF_HUMAN,3235.14
268,calcium folinate,BDNF_HUMAN,3243.22
269,6-gingerol,BDNF_HUMAN,3260.94
270,lariciresinol,BDNF_HUMAN,3263.71
